gate_error,meas_error,class_error,Q_total
0.0064444444444444445,0.03911111111111111,0.01,0.0535
0.0064444444444444445,0.03911111111111111,0.015,0.0618
0.0064444444444444445,0.03911111111111111,0.02,0.0608
0.0064444444444444445,0.04455555555555556,0.0,0.0527
0.0064444444444444445,0.04455555555555556,0.005,0.0521
0.0064444444444444445,0.04455555555555556,0.01,0.0608
0.0064444444444444445,0.04455555555555556,0.015,0.067
0.0064444444444444445,0.04455555555555556,0.02,0.0686
0.0064444444444444445,0.05,0.0,0.0578
0.0064444444444444445,0.05,0.005,0.0591
0.0064444444444444445,0.05,0.01,0.0647
0.0064444444444444445,0.05,0.015,0.071
0.0064444444444444445,0.05,0.02,0.0716
0.01188888888888889,0.001,0.0,0.0129
0.01188888888888889,0.001,0.005,0.0154
0.01188888888888889,0.001,0.01,0.0227
0.01188888888888889,0.001,0.015,0.027
0.01188888888888889,0.001,0.02,0.0335
0.01188888888888889,0.0064444444444444445,0.0,0.019
0.01188888888888889,0.0064444444444444445,0.005,0.0221
0.01188888888888889,0.0064444444444444445,0.01,0.0287
0.01188888888888889,0.0064444444444444445,0.015,0.0303
0.01188888888888889,0.0064444444444444445,0.02,0.0391
0.01188888888888889,0.01188888888888889,0.0,0.0251
0.01188888888888889,0.01188888888888889,0.005,0.0276
0.01188888888888889,0.01188888888888889,0.01,0.033
0.01188888888888889,0.01188888888888889,0.015,0.0422
0.01188888888888889,0.01188888888888889,0.02,0.0408
0.01188888888888889,0.017333333333333333,0.0,0.0318
0.01188888888888889,0.017333333333333333,0.005,0.0352
0.01188888888888889,0.017333333333333333,0.01,0.0396
0.01188888888888889,0.017333333333333333,0.015,0.0428
0.01188888888888889,0.017333333333333333,0.02,0.0453
0.01188888888888889,0.02277777777777778,0.0,0.0384
0.01188888888888889,0.02277777777777778,0.005,0.0395
0.01188888888888889,0.02277777777777778,0.01,0.0415
0.01188888888888889,0.02277777777777778,0.015,0.0475
0.01188888888888889,0.02277777777777778,0.02,0.0577
0.01188888888888889,0.028222222222222225,0.0,0.0401
0.01188888888888889,0.028222222222222225,0.005,0.0436
0.01188888888888889,0.028222222222222225,0.01,0.0494
0.01188888888888889,0.028222222222222225,0.015,0.0547
0.01188888888888889,0.028222222222222225,0.02,0.0612
0.01188888888888889,0.033666666666666664,0.0,0.0457
0.01188888888888889,0.033666666666666664,0.005,0.0511
0.01188888888888889,0.033666666666666664,0.01,0.048
0.01188888888888889,0.033666666666666664,0.015,0.0564
0.01188888888888889,0.033666666666666664,0.02,0.0609
0.01188888888888889,0.03911111111111111,0.0,0.0523
0.01188888888888889,0.03911111111111111,0.005,0.0564
0.01188888888888889,0.03911111111111111,0.01,0.0565
0.01188888888888889,0.03911111111111111,0.015,0.0607
0.01188888888888889,0.03911111111111111,0.02,0.0671
0.01188888888888889,0.04455555555555556,0.0,0.0562
0.01188888888888889,0.04455555555555556,0.005,0.0579
0.01188888888888889,0.04455555555555556,0.01,0.0662
0.01188888888888889,0.04455555555555556,0.015,0.0703
0.01188888888888889,0.04455555555555556,0.02,0.0781
0.01188888888888889,0.05,0.0,0.0614
0.01188888888888889,0.05,0.005,0.0644
0.01188888888888889,0.05,0.01,0.0727
0.01188888888888889,0.05,0.015,0.079
0.01188888888888889,0.05,0.02,0.0784
0.017333333333333333,0.001,0.0,0.0194
0.017333333333333333,0.001,0.005,0.021
0.017333333333333333,0.001,0.01,0.0278
0.017333333333333333,0.001,0.015,0.0319
